"# Backoff Power Limit Table (unit is 1 dBm, resolution level is ?0.5 dBm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 2.4G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch1,12,12,12,12,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5
Ch2,12,12,12,12,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5
Ch3,12,12,12,12,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5
Ch4,12,12,12,12,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5
Ch5,12,12,12,12,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5
Ch6,12,12,12,12,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5
Ch7,12,12,12,12,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5
Ch8,12,12,12,12,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5
Ch9,12,12,12,12,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,13.5,10.5,10.5,10.5,10.5,10.5
